checked_at,timestamp,scan_id,symbol,side,entry,sl,target,rr,score,rank_score,alert_sent,current_price,outcome,pnl_points,result_reason
2026-05-04 17:29:59,2026-05-04 17:29:50,20260504_172908,BANKBARODA.NS,LONG,267.65,267.15,268.65,2.0,2.57,22.57,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:59,2026-05-04 17:29:50,20260504_172908,INDIGO.NS,SHORT,4287.7,4292.2,4278.7,2.0,2.55,22.55,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:30:00,2026-05-04 17:29:50,20260504_172908,SIEMENS.NS,LONG,3886.4,3874.3,3910.6,2.0,2.53,22.53,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:30:00,2026-05-04 17:29:50,20260504_172908,PIIND.NS,SHORT,3059.4,3065.2,3047.8,2.0,2.28,22.28,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:30:00,2026-05-04 17:29:50,20260504_172908,TRENT.NS,SHORT,4093.3,4101.4,4077.1,2.0,2.21,22.21,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:30:00,2026-05-04 17:29:50,20260504_172908,BHARTIARTL.NS,SHORT,1827.1,1843.3,1794.7,2.0,2.19,22.19,False,1827.1,OPEN,0.0,SHORT trade still open
2026-05-04 17:30:01,2026-05-04 17:29:50,20260504_172908,HEROMOTOCO.NS,SHORT,5076.0,5085.0,5058.0,2.0,2.07,22.07,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:30:01,2026-05-04 17:29:50,20260504_172908,BAJAJ-AUTO.NS,LONG,10144.5,10120.0,10193.5,2.0,2.02,22.02,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:30:01,2026-05-04 17:29:50,20260504_172908,BAJAJHLDNG.NS,LONG,10443.0,10412.0,10505.0,2.0,1.89,21.89,False,,OPEN,0.0,Live price unavailable
2026-05-04 18:05:49,2026-05-04 18:05:49,20260504_180455,RELIANCE.NS,LONG,1463.1,1446.7,1495.9,2.0,3.29,23.29,True,1463.1,OPEN,0.0,LONG trade still open
2026-05-04 18:05:50,2026-05-04 18:05:49,20260504_180455,ONGC.NS,SHORT,294.0,294.5,293.0,2.0,3.23,23.23,True,,OPEN,0.0,Live price unavailable
2026-05-04 18:05:50,2026-05-04 18:05:49,20260504_180455,PFC.NS,SHORT,452.25,453.15,450.45,2.0,3.17,23.17,True,,OPEN,0.0,Live price unavailable
2026-05-04 18:05:50,2026-05-04 18:05:49,20260504_180455,MARICO.NS,LONG,783.5,782.7,785.1,2.0,3.12,23.12,False,,OPEN,0.0,Live price unavailable
2026-05-04 18:05:51,2026-05-04 18:05:49,20260504_180455,APOLLOHOSP.NS,LONG,7753.5,7749.5,7761.5,2.0,3.1,23.1,False,,OPEN,0.0,Live price unavailable
2026-05-04 18:05:51,2026-05-04 18:05:49,20260504_180455,HAVELLS.NS,LONG,1260.0,1255.0,1270.0,2.0,3.1,23.1,False,,OPEN,0.0,Live price unavailable
2026-05-04 18:05:52,2026-05-04 18:05:49,20260504_180455,DABUR.NS,SHORT,448.05,448.2,447.75,2.0,3.08,23.08,False,,OPEN,0.0,Live price unavailable
2026-05-04 18:05:52,2026-05-04 18:05:49,20260504_180455,BAJFINANCE.NS,LONG,957.6,956.6,959.6,2.0,3.04,23.04,False,,OPEN,0.0,Live price unavailable
2026-05-04 18:05:53,2026-05-04 18:05:49,20260504_180455,HAL.NS,LONG,4576.5,4564.8,4599.9,2.0,3.04,23.04,False,,OPEN,0.0,Live price unavailable
